SCORING;253;216;
Points per Game;28,1;24,0;
FIRST DOWNS;126;121;
Rushing;100;47;
Passing;19;67;
Penalty;7;7;
RUSHING YARDAGE;2075;772;
Yards gained rushing;2209;940;
Yards lost rushing;134;168;
Rushing Attemps;317;199;
Average Per Rush;6,5;3,9;
Average Per Game;230,6;85,8;
TDs Rushing;27;11;
PASSING YARDAGE;418;1589;
Att-Comp-Int;81-38-6;217-120-10;
Average Per Pass;5,2;7,3;
Average Per Catch;11,0;13,2;
Average Per Game;46,4;176,6;
TDs Passing;6;20;
TOTAL OFFENSE;2493;2361;
Total Plays;407;423;
Average Per Play;6,1;5,6;
Average Per Game;277,0;262,3;
