GIORNATA;CASA;TRASFERTA;RISULTATO;
30/03/2008<br/> h.--:--;FROGS;HOGS;0-42;
06/04/2008<br/> h.--:--;BOBCATS;HOGS;0-36;
19/04/2008<br/> h.20:00;HOGS;RED JACKETS;40-16;
10/05/2008<br/> h.20:00;HOGS;MULI;38-7;
17/05/2008<br/> h.20:00;HOGS;BOBCATS;68-0;
31/05/2008<br/> h.--:--;RED JACKETS;HOGS;12-48;
07/06/2008<br/> h.20:00;HOGS;FROGS;62-7;
14/06/2008<br/> h.15:30;REDSKINS;HOGS;6-52;
QUARTI FINALE;;;;
28/06/2008<br/> h.21:00;HOGS;GUELFI;-;
SEMIFINALE;;;;
05/07/2008<br/> h.21:00;;;-;
SUPERBOWL;;;;
12/07/2008<br/> h.21:00;HOGS;WARRIORS;28-14;
